,veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
0,10600,0.303901437,0,0,0,HBACK,3,F,C,2
1,10300,0.648870637,0,0,0,HBACK,2,F,A,4
2,32600,0.569472964,0,0,0,UTE,2,F,E,2
3,41400,0.317590691,0,0,0,STNWG,2,F,D,2
4,7200,0.648870637,0,0,0,HBACK,4,F,C,2
5,20100,0.854209446,0,0,0,HDTOP,3,M,C,4
6,16000,0.854209446,0,0,0,PANVN,3,M,A,4
7,14700,0.55578371,0,0,0,HBACK,2,M,B,6
8,5200,0.361396304,0,0,0,HBACK,4,F,A,3
9,3800,0.52019165,0,0,0,HBACK,4,F,B,4
10,13800,0.854209446,0,0,0,HBACK,2,M,A,2
11,12200,0.854209446,0,0,0,HBACK,3,M,C,4
12,10000,0.492813142,0,0,0,HBACK,2,F,C,4
13,70400,0.314852841,0,0,0,STNWG,1,M,A,5
14,16600,0.484599589,1,1,669.5099993,SEDAN,3,M,B,6
15,23500,0.391512663,0,0,0,SEDAN,2,M,C,4
16,15100,0.993839836,1,1,806.6099987,SEDAN,3,F,F,4
17,7600,0.539356605,1,1,401.8054514,HBACK,3,M,C,4
18,2700,0.45174538,0,0,0,HBACK,4,F,D,2
19,8900,0.594113621,0,0,0,HBACK,3,F,C,3
20,19500,0.594113621,0,0,0,HBACK,1,M,A,1
21,3900,0.536618754,0,0,0,SEDAN,4,M,C,5
22,38600,0.594113621,0,0,0,STNWG,2,F,B,2
23,13700,0.59137577,0,0,0,HBACK,1,F,B,1
24,13000,0.999315537,0,0,0,HBACK,2,F,A,2
25,14400,0.030116359,0,0,0,HBACK,2,F,C,1
26,13490,0.462696783,0,0,0,HBACK,1,F,C,5
27,13900,0.317590691,0,0,0,HBACK,3,F,C,2
28,10000,0.287474333,0,0,0,STNWG,4,M,C,3
29,15100,0.06844627,0,0,0,HBACK,2,F,C,2
30,44500,0.594113621,0,0,0,STNWG,1,F,C,3
31,21700,0.536618754,0,0,0,SEDAN,2,F,A,4
32,8700,0.854209446,0,0,0,HBACK,3,M,D,3
33,40900,0.848733744,0,0,0,UTE,1,M,A,2
34,13100,0.405201917,0,0,0,HBACK,2,M,C,1
35,19000,0.854209446,0,0,0,SEDAN,1,F,A,4
36,24200,0.577686516,0,0,0,SEDAN,1,F,A,4
37,10500,0.421629021,0,0,0,HDTOP,4,F,C,6
38,14200,0.594113621,0,0,0,TRUCK,3,M,D,4
39,30000,0.854209446,0,0,0,STNWG,3,M,B,3
40,18900,0.654346338,1,2,1811.709997,STNWG,3,M,F,2
41,26100,0.251882272,0,0,0,STNWG,2,M,B,4
42,9300,0.536618754,0,0,0,COUPE,4,F,A,4
43,14900,0.405201917,0,0,0,HBACK,2,F,C,2
44,31000,0.462696783,0,0,0,HDTOP,1,F,C,3
45,19400,0.536618754,0,0,0,SEDAN,1,M,A,6
46,22340,0.854209446,0,0,0,SEDAN,1,M,C,2
47,16200,0.854209446,0,0,0,SEDAN,2,F,B,4
48,21400,0.536618754,0,0,0,HDTOP,3,M,D,4
49,17700,0.249144422,0,0,0,HBACK,2,F,E,1
50,40300,0.462696783,0,0,0,STNWG,1,M,F,2
51,26500,0.095824778,0,0,0,SEDAN,1,F,C,3
52,11300,0.303901437,0,0,0,STNWG,4,M,A,1
53,15300,0.169746749,0,0,0,SEDAN,3,F,D,3
54,10500,0.906228611,0,0,0,HBACK,2,F,F,3
55,8800,0.536618754,0,0,0,COUPE,4,M,B,4
56,29000,0.854209446,0,0,0,STNWG,3,M,B,5
57,26700,0.536618754,0,0,0,HBACK,1,F,A,2
58,8300,0.344969199,0,0,0,SEDAN,4,M,C,5
59,7000,0.249144422,0,0,0,SEDAN,4,F,C,1
60,11500,0.906228611,0,0,0,STNWG,3,F,A,3
61,9900,0.317590691,0,0,0,HBACK,3,F,B,3
62,17500,0.971937029,0,0,0,SEDAN,2,F,B,2
63,26500,0.095824778,0,0,0,SEDAN,1,F,C,3
64,40600,0.851471595,1,1,5434.439987,STNWG,2,M,F,3
65,13900,0.317590691,1,1,865.789999,HBACK,3,F,A,4
66,11900,0.906228611,0,0,0,HBACK,2,F,B,5
67,11900,0.906228611,0,0,0,HBACK,2,F,A,1
68,7900,0.353182752,0,0,0,HBACK,3,F,B,2
69,17400,0.854209446,0,0,0,HBACK,2,F,C,3
70,7700,0.093086927,0,0,0,COUPE,4,M,C,2
71,25800,0.030116359,0,0,0,HBACK,2,M,A,5
72,7900,0.030116359,0,0,0,SEDAN,3,F,E,3
73,17900,0.673511294,0,0,0,UTE,4,F,E,3
74,17900,0.046543463,0,0,0,HBACK,1,M,C,6
75,19000,0.854209446,0,0,0,HBACK,1,M,C,1
76,18400,0.095824778,0,0,0,STNWG,4,M,A,3
77,3900,0.030116359,0,0,0,HBACK,4,F,B,4
78,53900,0.024640657,0,0,0,STNWG,2,M,A,5
79,14300,0.030116359,0,0,0,SEDAN,2,F,B,4
80,23300,0.229979466,0,0,0,MIBUS,3,F,C,3
81,36800,0.34770705,0,0,0,UTE,1,F,E,2
82,34300,0.317590691,0,0,0,STNWG,2,F,D,2
83,11300,0.229979466,0,0,0,SEDAN,3,M,A,3
84,26500,0.317590691,0,0,0,HDTOP,3,M,F,5
85,19800,0.229979466,0,0,0,UTE,3,M,A,2
86,6800,0.249144422,0,0,0,HBACK,3,F,E,3
87,11500,0.665297741,0,0,0,SEDAN,3,M,C,4
88,31900,0.999315537,0,0,0,HDTOP,3,M,F,4
89,11400,0.344969199,0,0,0,SEDAN,3,M,C,4
90,14300,0.219028063,0,0,0,SEDAN,2,F,C,4
91,12200,0.777549624,0,0,0,HDTOP,4,F,D,2
92,17500,0.24366872,0,0,0,SEDAN,2,M,A,4
93,3800,0.750171116,0,0,0,HBACK,4,F,A,2
94,47000,0.232717317,0,0,0,STNWG,2,M,D,2
95,26600,0.317590691,1,1,1105.769999,STNWG,1,F,F,5
96,15900,0.229979466,0,0,0,SEDAN,1,F,A,1
97,5400,0.027378508,0,0,0,SEDAN,4,M,A,4
98,5000,0.071184121,1,1,200,HBACK,4,F,A,5
99,13000,0.229979466,0,0,0,HBACK,2,F,B,1
100,14100,0.027378508,0,0,0,HBACK,2,F,C,4
101,17500,0.317590691,0,0,0,HBACK,2,F,B,4
102,22900,0.030116359,0,0,0,UTE,2,M,C,2
103,46400,0.221765914,0,0,0,STNWG,1,F,D,3
104,8000,0.27652293,0,0,0,HBACK,3,M,C,6
105,35500,0.851471595,0,0,0,STNWG,2,F,C,3
106,17500,0.317590691,0,0,0,HBACK,2,M,A,3
107,14800,0.6954141,0,0,0,HBACK,2,F,B,2
108,12200,0.394250513,0,0,0,HBACK,3,M,C,3
109,31400,0.306639288,0,0,0,UTE,2,F,A,2
110,15100,0.317590691,0,0,0,STNWG,4,M,A,4
111,16500,0.722792608,0,0,0,SEDAN,3,M,C,4
112,16400,0.317590691,0,0,0,UTE,2,M,C,4
113,21700,0.344969199,0,0,0,STNWG,3,F,F,5
114,13100,0.317590691,0,0,0,HBACK,2,M,B,2
115,11600,0.596851472,1,2,739.2299995,STNWG,4,F,B,2
116,7700,0.878850103,0,0,0,SEDAN,4,F,C,5
117,4300,0.317590691,0,0,0,HBACK,4,F,B,3
118,49800,0.722792608,0,0,0,STNWG,1,M,F,5
119,17200,0.906228611,0,0,0,SEDAN,2,F,D,6
120,24700,0.670773443,0,0,0,HDTOP,3,M,D,2
121,41700,0.722792608,0,0,0,STNWG,2,F,C,2
122,11300,0.229979466,0,0,0,SEDAN,3,M,B,6
123,6700,0.027378508,0,0,0,HBACK,4,F,A,5
124,35600,0.906228611,1,1,3230.599999,MCARA,3,M,F,4
125,25600,0.317590691,0,0,0,STNWG,2,F,A,3
126,13600,0.229979466,0,0,0,HBACK,1,F,C,5
127,39990,0.999315537,0,0,0,SEDAN,1,M,C,1
128,16400,0.090349076,0,0,0,HBACK,2,F,A,4
129,21500,0.654346338,1,1,200,SEDAN,3,F,A,5
130,8900,0.229979466,0,0,0,HBACK,3,M,C,2
131,30300,0.90349076,1,1,200,TRUCK,1,M,C,1
132,24100,0.339493498,1,1,407.8399997,STNWG,3,M,E,1
133,7300,0.769336071,0,0,0,SEDAN,4,M,E,5
134,8200,0.462696783,0,0,0,HDTOP,4,F,F,1
135,13900,0.093086927,0,0,0,SEDAN,3,M,A,2
136,25400,0.344969199,0,0,0,HDTOP,3,M,C,5
137,7600,0.344969199,0,0,0,SEDAN,4,M,D,3
138,4100,0.229979466,0,0,0,HBACK,4,M,A,5
139,35990,0.583162218,0,0,0,STNWG,1,F,B,3
140,19800,0.306639288,0,0,0,SEDAN,3,F,A,3
141,7600,0.229979466,0,0,0,SEDAN,4,F,A,3
142,5300,0.229979466,0,0,0,HBACK,4,F,B,3
143,18600,0.344969199,0,0,0,STNWG,2,F,B,4
144,2200,0.292950034,0,0,0,HBACK,4,M,C,6
145,16500,0.722792608,0,0,0,SEDAN,3,F,F,3
146,13300,0.224503765,0,0,0,HBACK,3,F,A,6
147,8500,0.306639288,0,0,0,HBACK,3,F,A,3
148,19700,0.616016427,0,0,0,STNWG,3,M,D,5
149,11500,0.019164956,0,0,0,HBACK,4,F,A,4
150,26500,0.290212183,0,0,0,SEDAN,1,M,A,5
151,4500,0.616016427,0,0,0,HBACK,4,F,B,6
152,4500,0.616016427,0,0,0,HBACK,4,F,A,6
153,6700,0.616016427,0,0,0,SEDAN,4,F,D,5
154,13000,0.648870637,0,0,0,HBACK,2,F,C,5
155,5900,0.616016427,0,0,0,COUPE,4,F,A,4
156,15500,0.616016427,0,0,0,SEDAN,2,F,E,5
157,15600,0.246406571,0,0,0,SEDAN,1,F,D,5
158,4100,0.616016427,0,0,0,SEDAN,4,F,A,5
159,17200,0.646132786,0,0,0,SEDAN,2,F,B,6
160,4400,0.616016427,0,0,0,SEDAN,4,M,D,6
161,25800,0.616016427,0,0,0,STNWG,3,M,D,6
162,18400,0.229979466,0,0,0,PANVN,1,M,C,3
163,2200,0.616016427,0,0,0,HBACK,4,F,B,5
164,17200,0.616016427,1,1,1619.829998,STNWG,2,F,A,6
165,30500,0.229979466,0,0,0,STNWG,2,F,F,2
166,18500,0.336755647,0,0,0,SEDAN,1,F,D,5
167,32100,0.616016427,0,0,0,STNWG,1,M,B,4
168,8900,0.616016427,0,0,0,STNWG,4,M,C,6
169,19800,0.38329911,0,0,0,SEDAN,2,M,A,2
170,5200,0.38329911,0,0,0,SEDAN,4,F,A,6
171,19200,0.616016427,1,1,1010.919998,STNWG,4,M,A,5
172,11500,0.616016427,0,0,0,HBACK,3,F,C,2
173,5000,0.616016427,0,0,0,STNWG,4,F,C,3
174,65400,0.229979466,0,0,0,STNWG,1,F,D,4
