,factor,group,exposure,claims,claim_cost,frequency,severity,pure_premium,actual_claims_relativity
0,Number_of_recorded_claims,0,28701.563315481,0,0.0,0.0,,,
1,Number_of_recorded_claims,1,2581.379876931,4245,7242587.3213131,1.6444693157858177,1706.1454231597409,2805.7037966546036,10.932004481166688
2,Number_of_recorded_claims,2,189.032169753,267,757121.5134896,1.412457997751796,2835.661099211985,4005.252198495617,15.605865107487332
3,Number_of_recorded_claims,3,12.736481861,18,72432.383533,1.4132631127216742,4024.021307388889,5687.000878538762,22.158546872522237
4,Number_of_recorded_claims,4,1.768651609,2,8877.959994,1.1308049532325957,4438.979997,5019.620567908013,19.558199481911384
5,Veh_body,BUS,18.973305959,7,11839.259988599999,0.3689393938582193,1691.3228555142855,623.995629131993,2.4313054792287963
6,Veh_body,CONVT,32.596851476,3,6888.809998,0.092033428510996,2296.269999333333,211.33360082558914,0.8234297127163357
7,Veh_body,COUPE,318.776180738,67,168681.8906597,0.2101788152580536,2517.6401591,529.1546258857355,2.0617717195629797
8,Veh_body,HBACK,8707.080082927,1230,2159403.161903,0.14126434904530238,1755.6123267504065,248.00543251430489,0.9663160105613335
9,Veh_body,HDTOP,778.751540088,127,233210.10143850002,0.1630815394415128,1836.3000113267717,299.4666327236373,1.1668268670407047
10,Veh_body,MCARA,56.585900073,14,10673.9499938,0.24741145730542352,762.4249995571429,188.6326802265196,0.7349789767507144
11,Veh_body,MIBUS,313.754962394,41,93662.88978330001,0.13067522402566484,2284.460726421951,298.5224172030215,1.163147872731018
12,Veh_body,PANVN,400.26557153699997,57,81839.6525736,0.14240545291248213,1435.7833784842105,204.46338229725777,0.7966609355461065
13,Veh_body,RDSTR,11.668720055,2,1369.458179,0.17139840450135815,684.7290895,117.36147345596767,0.45728139772514526
14,Veh_body,SEDAN,10370.784395174,1450,2345814.8690704,0.1398158465886873,1617.8033579795863,226.19454610993697,0.8813331594866517
15,Veh_body,STNWG,7562.844627646,1162,2174771.6211608,0.15364589082688618,1871.5762660592084,287.5600026491244,1.1204344668574173
16,Veh_body,TRUCK,820.391512719,115,246437.9686839,0.1401769743068877,2142.9388581208696,300.3906852560404,1.1704272992877256
17,Veh_body,UTE,2094.006844849,257,546425.5448971,0.1227312129529034,2126.169435397276,260.94735374969747,1.0167422676412554
18,Veh_age,1,5299.553730853,818,1354904.6387583,0.1543526193984521,1656.3626390688266,255.66391201400629,0.9961561285058885
19,Veh_age,2,7835.701574925,1252,2308581.1903013,0.15978148070448733,1843.9146887390575,294.6234192594805,1.147956011408496
20,Veh_age,3,9454.176592282,1348,2505181.4785759,0.14258248582964397,1858.443233364911,264.98145598645016,1.032460542600376
21,Veh_age,4,8897.048597575,1114,1912351.8706942,0.12521006126724255,1716.653384824237,214.942275488462,0.8374903728732052
22,Gender,F,17774.707736021,2602,4359339.5751155,0.14638777968354247,1675.3803132649884,245.2552041843795,0.9556001579247064
23,Gender,M,13711.772759614,1930,3721679.6032142,0.14075495808131608,1928.3314006291193,271.4222054624372,1.0575559579530287
24,Area,A,7521.670089646,1065,1741136.7137376,0.14159089501492922,1634.8701537442253,231.48272830183978,0.9019377690994119
25,Area,B,6237.434634382,947,1633560.834005,0.1518252383407667,1724.985041187962,261.8962650126196,1.020439558207303
26,Area,C,9474.039699684,1380,2479817.237914,0.1456612008968074,1796.9690129811595,261.7486644051864,1.0198644545545912
27,Area,D,3782.899384291,485,767178.3305317,0.12820853814247027,1581.8109907870105,202.8016747464951,0.7901863410386657
28,Area,E,2748.843258319,380,784288.3105851,0.1382399665204561,2063.916606802895,285.31576262544553,1.1116901218467556
29,Area,F,1721.593429313,275,675037.7515563,0.1597357397615873,2454.682732932,392.1005622248879,1.5277610945322948
30,Age_category,1,2589.552361654,486,1183928.7087046,0.18767722452601107,2436.067301861317,457.19434997190035,1.7813892858598825
31,Age_category,2,5846.9541416,916,1700495.9019402,0.1566627645465575,1856.436574170524,290.83448591489463,1.1331930003054556
32,Age_category,3,7330.176592014,1086,1857490.4622494,0.14815468445646499,1710.3963740786373,253.40323509710237,0.9873477396034208
33,Age_category,4,7529.746749434,1084,1853632.0426309,0.1439623450923476,1709.9926592535978,246.1745533168476,0.959182264078564
34,Age_category,5,5119.277207846,603,928514.2540234,0.11779006596396442,1539.8246335379768,181.37604515737561,0.7067045854237817
35,Age_category,6,3070.773443087,357,556957.8087812,0.11625735555440832,1560.10590695014,181.37378712683508,0.7066957873460882
36,Claims_cost_categories,Claims_cost 0,28701.563315481,0,0.0,0.0,,,
37,Claims_cost_categories,Claims_cost 1-10k,2734.603696233,4429,6507047.9654497,1.619613111070201,1469.1912317565366,2379.521381622265,9.271448553458573
38,Claims_cost_categories,Claims_cost 10k-20k,43.91238878,86,1142503.87894,1.958445039983088,13284.92882488372,26017.802963621874,101.37447114965025
39,Claims_cost_categories,Claims_cost 20k-30k,5.626283369,13,296312.30439,2.3105839410130145,22793.254183846155,52665.72708062263,205.20411496600514
40,Claims_cost_categories,Claims_cost 30k-40k,0.774811772,4,135155.02955,5.162544174664399,33788.7573875,174435.9526199868,679.6635546460819
41,Veh_value_categories,Veh_value up to 100k,31453.954828282,4529,8066199.5083387,0.14398825281988784,1781.0111522054979,256.44468405880497,0.9991982897998519
42,Veh_value_categories,Veh_value between 100k and 200k,29.544147846,3,14819.669991,0.10154295245331206,4939.889997,501.6110150899629,1.954452166798385
43,Veh_value_categories,Veh_value between 200k and 300k,2.168377823,0,0.0,0.0,,,
44,Veh_value_categories,Veh_value between 300k and 400k,0.813141684,0,0.0,0.0,,,
