factor,level,relativity
Veh_body,BUS,1.0
Veh_body,CONVT,0.980102703858801
Veh_body,COUPE,1.2649868809928584
Veh_body,HBACK,0.9768406830620807
Veh_body,HDTOP,1.006607720506113
Veh_body,MCARA,0.9747295332523057
Veh_body,MIBUS,1.0243391520633622
Veh_body,PANVN,0.9277068152501259
Veh_body,RDSTR,0.9899526629467609
Veh_body,SEDAN,0.914648312600433
Veh_body,STNWG,0.987006027245801
Veh_body,TRUCK,1.00365938871109
Veh_body,UTE,0.9533073403580872
Gender,F,1.0
Gender,M,1.0668015067400711
Area,A,1.0
Area,B,1.0839365910613092
Area,C,1.0953078559249227
Area,D,0.8686799757608242
Area,E,1.1066836917669018
Area,F,1.3164816171600995
Age_category,1,1.0
Age_category,2,0.9109386447320099
Age_category,3,0.8151771631642232
Age_category,4,0.8060965643211377
Age_category,5,0.6245683666419023
Age_category,6,0.6754033698213051
Veh_value_categories,Veh_value between 100k and 200k,1.0
Veh_value_categories,Veh_value between 200k and 300k,0.9959170300776276
Veh_value_categories,Veh_value between 300k and 400k,0.9980285483997476
Veh_value_categories,Veh_value up to 100k,1.0117725181303363
Veh_age,1,1.0
Veh_age,2,1.152459110544712
Veh_age,3,1.1089545384472832
Veh_age,4,0.9501473552566847
