Veh_body,Severity_sum,Severity_mean,Severity_min,Severity_max,Severity_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,claims_Frequency_sum,claims_Frequency_mean,claims_Frequency_min,claims_Frequency_max,claims_Frequency_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,Exposure_sum,Exposure_mean,Exposure_min,Exposure_max,Exposure_count,Claims_cost_sum,Claims_cost_mean,Claims_cost_min,Claims_cost_max,Claims_cost_count,Number_of_recorded_claims_sum,Number_of_recorded_claims_mean,Number_of_recorded_claims_min,Number_of_recorded_claims_max,Number_of_recorded_claims_count
BUS,10726.0,282.2631578947368,0.0,4791.0,38,27377.0,720.4473684210526,0.0,17676.0,38,14.678942305534441,0.38628795540880106,0.0,3.689393938387741,38,27377.0,720.4473684210526,0.0,17676.0,38,27377.0,720.4473684210526,0.0,17676.0,38,18.973305959,0.4992975252368421,0.024640657,0.999315537,38,11839.259988599999,311.5594733842105,0.0,4790.839996,38,8,0.21052631578947367,0,2,38
CONVT,6889.0,85.04938271604938,0.0,6126.0,81,14845.0,183.2716049382716,0.0,13727.0,81,5.109135489724437,0.06307574678672145,0.0,2.240797547531338,81,14845.0,183.2716049382716,0.0,13727.0,81,14845.0,183.2716049382716,0.0,13727.0,81,32.596851476,0.40243026513580243,0.002737851,0.988364134,81,6888.809998,85.04703701234567,0.0,6125.809998,81,3,0.037037037037037035,0,1,81
COUPE,149195.0,191.5211810012837,0.0,17735.0,779,452047.0,580.2913992297817,0.0,52532.0,779,206.8743245760174,0.2655639596611263,0.0,18.26249991416625,779,452047.0,580.2913992297817,0.0,52532.0,779,452047.0,580.2913992297817,0.0,52532.0,779,318.776180738,0.4092120420256739,0.002737851,0.999315537,779,168681.8906597,216.53644500603338,0.0,19847.73996,779,74,0.09499358151476252,0,2,779
HBACK,2066715.0,110.27184932237755,0.0,18291.0,18742,7936746.0,423.4738021555864,0.0,710046.0,18742,4076.131221948116,0.21748645939324063,0.0,182.62498580090733,18742,7936746.0,423.4738021555864,0.0,710046.0,18742,7936746.0,423.4738021555864,0.0,710046.0,18742,8707.080082927,0.4645758234407747,0.002737851,0.999315537,18742,2159403.161903,115.21732802811866,0.0,18291.46991,18742,1295,0.06909614768968093,0,3,18742
HDTOP,224048.0,142.43356643356643,0.0,32815.0,1573,488327.0,310.44310235219325,0.0,103325.0,1573,285.2043024267995,0.18131233466420818,0.0,17.39285700060842,1573,488327.0,310.44310235219325,0.0,103325.0,1573,488327.0,310.44310235219325,0.0,103325.0,1573,778.751540088,0.4950740877863954,0.002737851,0.999315537,1573,233210.10143850002,148.25817001811825,0.0,32814.79993,1573,133,0.0845518118245391,0,2,1573
MCARA,10229.0,84.53719008264463,0.0,3231.0,121,18985.0,156.900826446281,0.0,3565.0,121,34.88898661922448,0.28833873239028496,0.0,6.891509420569332,121,18985.0,156.900826446281,0.0,3565.0,121,18985.0,156.900826446281,0.0,3565.0,121,56.585900073,0.4676520667190082,0.021902806,0.999315537,121,10673.9499938,88.2144627586777,0.0,3230.599999,121,15,0.12396694214876033,0,2,121
MIBUS,91263.0,127.99859747545582,0.0,20545.0,713,233044.0,326.8499298737728,0.0,60150.0,713,91.07772059874836,0.1277387385676695,0.0,10.145833367998264,713,233044.0,326.8499298737728,0.0,60150.0,713,233044.0,326.8499298737728,0.0,60150.0,713,313.754962394,0.4400490356157083,0.002737851,0.999315537,713,93662.88978330001,131.36450179985977,0.0,20545.09992,713,43,0.06030855539971949,0,2,713
PANVN,77200.0,104.32432432432432,0.0,9523.0,740,140444.0,189.7891891891892,0.0,17134.0,740,100.99798776718326,0.13648376725295036,0.0,5.451492529522681,740,140444.0,189.7891891891892,0.0,17134.0,740,140444.0,189.7891891891892,0.0,17134.0,740,400.26557153699997,0.5408994209959459,0.002737851,0.999315537,740,81839.6525736,110.59412509945946,0.0,9522.949951,740,63,0.08513513513513514,0,3,740
RDSTR,785.0,29.074074074074073,0.0,585.0,27,2070.0,76.66666666666667,0.0,1858.0,27,4.237860212283964,0.1569577856401468,0.0,3.176086956725423,27,2070.0,76.66666666666667,0.0,1858.0,27,2070.0,76.66666666666667,0.0,1858.0,27,11.668720055,0.43217481685185183,0.002737851,0.980150582,27,1369.458179,50.7206732962963,0.0,1169.458179,27,3,0.1111111111111111,0,2,27
SEDAN,2207454.0,99.97527173913043,0.0,18216.0,22080,15013895.0,679.9771286231884,0.0,3142976.0,22080,4693.914517879329,0.21258670823728845,0.0,365.2499716018147,22080,15013895.0,679.9771286231884,0.0,3142976.0,22080,15013895.0,679.9771286231884,0.0,3142976.0,22080,10370.784395174,0.46969132224519927,0.002737851,0.999315537,22080,2345814.8690704,106.24161544702899,0.0,18215.87994,22080,1571,0.07115036231884057,0,3,22080
