Veh_value,Severity_sum,Severity_mean,Severity_min,Severity_max,Severity_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,claims_Frequency_sum,claims_Frequency_mean,claims_Frequency_min,claims_Frequency_max,claims_Frequency_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,Pure_Premium_sum,Pure_Premium_mean,Pure_Premium_min,Pure_Premium_max,Pure_Premium_count,Exposure_sum,Exposure_mean,Exposure_min,Exposure_max,Exposure_count,Claims_cost_sum,Claims_cost_mean,Claims_cost_min,Claims_cost_max,Claims_cost_count,Number_of_recorded_claims_sum,Number_of_recorded_claims_mean,Number_of_recorded_claims_min,Number_of_recorded_claims_max,Number_of_recorded_claims_count
1800.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,2.135523615,0.266940451875,0.049281314,0.462696783,8,0.0,0.0,0.0,0.0,8,0,0.0,0,0,8
1900.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,13,9.0403833,0.6954141,0.314852841,0.895277207,13,0.0,0.0,0.0,0.0,13,0,0.0,0,0,13
2000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,1.237508557,0.2475017114,0.030116359,0.459958932,5,0.0,0.0,0.0,0.0,5,0,0.0,0,0,5
2100.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,1.754962354,0.35099247079999996,0.062970568,0.862422998,5,0.0,0.0,0.0,0.0,5,0,0.0,0,0,5
2200.0,2882.0,64.04444444444445,0.0,1458.0,45,4288.0,95.28888888888889,0.0,1528.0,45,6.904575355368477,0.15343500789707726,0.0,2.5541958013245667,45,4288.0,95.28888888888889,0.0,1528.0,45,4288.0,95.28888888888889,0.0,1528.0,45,27.753593429,0.6167465206444445,0.052019165,0.999315537,45,3586.6354535,79.70301007777778,0.0,1457.959999,45,5,0.1111111111111111,0,2,45
2300.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,2.480492813,0.4960985626,0.251882272,0.892539357,5,0.0,0.0,0.0,0.0,5,0,0.0,0,0,5
2400.0,200.0,8.0,0.0,200.0,25,217.0,8.68,0.0,217.0,25,1.0838278934846244,0.043353115739384974,0.0,1.0838278934846244,25,217.0,8.68,0.0,217.0,25,217.0,8.68,0.0,217.0,25,10.910335387,0.43641341548,0.002737851,0.922655715,25,200.0,8.0,0.0,200.0,25,1,0.04,0,1,25
2500.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.67008898,0.27834816333333334,0.010951403,0.473648186,6,0.0,0.0,0.0,0.0,6,0,0.0,0,0,6
2600.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,25,7.493497607,0.29973990428,0.005475702,0.887063655,25,0.0,0.0,0.0,0.0,25,0,0.0,0,0,25
2700.0,1951.0,60.96875,0.0,1951.0,32,7126.0,222.6875,0.0,7126.0,32,3.652499996174007,0.11414062488043772,0.0,3.652499996174007,32,7126.0,222.6875,0.0,7126.0,32,7126.0,222.6875,0.0,7126.0,32,15.772758386,0.4928986995625,0.03559206,0.977412731,32,1951.039997,60.96999990625,0.0,1951.039997,32,1,0.03125,0,1,32
2800.0000000000005,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,79,34.841889121,0.44103657115189876,0.005475702,0.952772074,79,0.0,0.0,0.0,0.0,79,0,0.0,0,0,79
2900.0,200.0,2.1739130434782608,0.0,200.0,92,1044.0,11.347826086956522,0.0,1044.0,92,5.217857145559248,0.056715838538687474,0.0,5.217857145559248,92,1044.0,11.347826086956522,0.0,1044.0,92,1044.0,11.347826086956522,0.0,1044.0,92,31.559206024999998,0.3430348480978261,0.002737851,0.999315537,92,200.0,2.1739130434782608,0.0,200.0,92,1,0.010869565217391304,0,1,92
